X,Y
54.300,12.800
53.122,12.137
51.949,11.509
50.783,10.915
49.623,10.354
48.471,9.827
47.325,9.334
46.188,8.874
45.058,8.447
43.938,8.053
42.826,7.693
41.724,7.365
40.632,7.069
39.550,6.806
38.480,6.576
37.420,6.377
36.372,6.211
35.336,6.076
34.313,5.974
33.303,5.902
32.306,5.863
31.323,5.854
30.354,5.877
29.400,5.930
28.461,6.014
27.538,6.129
26.630,6.275
25.739,6.451
24.865,6.657
24.008,6.893
23.169,7.158
22.348,7.454
21.545,7.779
20.761,8.134
19.997,8.518
19.253,8.931
18.528,9.373
17.825,9.844
17.143,10.343
16.482,10.872
15.843,11.428
15.227,12.013
14.633,12.625
14.063,13.266
13.516,13.934
12.993,14.630
12.495,15.354
12.022,16.105
11.575,16.883
11.153,17.687
10.757,18.519
10.388,19.378
10.047,20.263
9.733,21.174
9.446,22.112
9.188,23.075
8.960,24.065
8.760,25.081
8.590,26.122
8.450,27.188
8.341,28.280
8.272,29.234
8.233,30.057
8.211,30.889
8.208,31.730
8.222,32.580
8.253,33.438
8.302,34.304
8.367,35.178
8.449,36.059
8.548,36.947
8.663,37.841
8.795,38.742
8.942,39.649
9.106,40.561
9.285,41.479
9.479,42.402
9.689,43.329
9.913,44.260
10.153,45.195
10.407,46.134
10.676,47.076
10.960,48.021
11.257,48.968
11.568,49.918
11.893,50.869
12.232,51.823
12.584,52.777
12.950,53.732
13.328,54.687
13.719,55.643
14.123,56.599
14.539,57.554
14.968,58.508
15.409,59.461
15.861,60.413
16.325,61.363
16.801,62.310
17.288,63.255
17.787,64.197
18.296,65.136
18.816,66.071
19.346,67.003
19.887,67.930
20.439,68.853
21.000,69.771
21.571,70.683
22.152,71.590
22.742,72.491
23.341,73.386
23.950,74.274
24.567,75.155
25.193,76.029
25.828,76.896
26.471,77.754
27.122,78.604
27.781,79.446
28.448,80.278
29.122,81.101
29.804,81.915
30.493,82.718
31.189,83.512
31.892,84.294
32.602,85.066
33.318,85.826
34.040,86.575
34.768,87.311
35.502,88.036
36.242,88.747
36.988,89.446
37.739,90.131
38.494,90.802
39.255,91.460
40.021,92.103
40.791,92.731
41.566,93.344
42.345,93.942
43.128,94.524
43.914,95.090
44.705,95.640
45.498,96.172
46.295,96.688
47.095,97.187
47.898,97.667
48.300,98.402
47.783,98.501
46.928,97.994
46.074,97.474
45.223,96.940
44.375,96.394
43.530,95.836
42.688,95.265
41.849,94.682
41.013,94.088
40.181,93.482
39.353,92.864
38.529,92.235
37.709,91.595
36.893,90.944
36.082,90.283
35.275,89.612
34.473,88.930
33.676,88.239
32.884,87.538
32.097,86.827
31.315,86.107
30.539,85.378
29.769,84.640
29.005,83.894
28.247,83.140
27.495,82.377
26.750,81.606
26.011,80.828
25.279,80.042
24.553,79.248
23.835,78.448
23.124,77.641
22.420,76.827
21.724,76.007
21.036,75.181
20.356,74.349
19.683,73.510
19.019,72.667
18.364,71.818
17.716,70.964
17.078,70.105
16.448,69.241
15.828,68.373
15.217,67.501
14.615,66.625
14.022,65.745
13.440,64.861
12.867,63.974
12.304,63.084
11.752,62.191
11.210,61.295
10.678,60.397
10.157,59.496
9.647,58.593
9.148,57.689
8.660,56.783
8.184,55.875
7.719,54.966
7.266,54.057
6.824,53.146
6.395,52.235
5.978,51.324
5.573,50.413
5.181,49.502
4.802,48.591
4.435,47.680
4.081,46.771
3.741,45.862
3.414,44.955
3.100,44.049
2.800,43.144
2.514,42.242
2.242,41.341
1.984,40.443
1.741,39.548
1.512,38.655
1.298,37.765
1.098,36.878
0.914,35.995
0.744,35.115
0.590,34.239
0.452,33.367
0.329,32.499
0.222,31.636
0.131,30.778
0.057,29.924
-0.002,29.076
-0.044,28.232
-0.069,27.395
-0.078,26.563
-0.069,25.737
-0.043,24.918
-0.000,24.104
0.092,23.038
0.215,21.994
0.367,20.974
0.549,19.977
0.759,19.005
0.997,18.056
1.263,17.130
1.557,16.229
1.878,15.352
2.225,14.498
2.598,13.669
2.997,12.864
3.421,12.082
3.870,11.325
4.343,10.592
4.841,9.884
5.361,9.199
5.905,8.539
6.472,7.903
7.060,7.291
7.671,6.704
8.302,6.141
8.955,5.603
9.628,5.089
10.321,4.600
11.033,4.135
11.765,3.695
12.516,3.280
13.284,2.889
14.071,2.524
14.875,2.183
15.696,1.866
16.533,1.575
17.387,1.308
18.256,1.067
19.141,0.850
20.040,0.659
20.954,0.492
21.882,0.351
22.823,0.235
23.777,0.144
24.744,0.078
25.723,0.037
26.714,0.022
27.716,0.032
28.729,0.068
29.752,0.129
30.786,0.215
31.829,0.327
32.881,0.464
33.942,0.627
35.011,0.816
36.088,1.030
37.173,1.270
38.264,1.536
39.362,1.827
40.466,2.144
41.576,2.487
42.691,2.856
43.811,3.251
44.935,3.672
46.063,4.119
47.195,4.592
48.330,5.091
49.467,5.616
50.607,6.167
51.748,6.745
52.891,7.349
54.034,7.979
54.566,8.805
54.500,9.804
54.433,10.803
54.367,11.801
54.300,12.800
49.800,76.700
50.981,77.344
52.150,77.919
53.304,78.427
54.443,78.867
55.564,79.242
56.666,79.550
57.747,79.793
58.805,79.971
59.839,80.086
60.846,80.137
61.825,80.125
62.775,80.051
63.693,79.915
64.578,79.719
65.427,79.462
66.240,79.146
67.015,78.770
67.749,78.336
68.442,77.845
69.091,77.296
69.694,76.690
70.250,76.028
70.758,75.311
71.214,74.540
71.618,73.714
71.969,72.834
72.263,71.902
72.500,70.918
72.677,69.881
72.793,68.794
72.838,67.949
72.845,67.110
72.816,66.253
72.753,65.380
72.656,64.492
72.526,63.591
72.364,62.678
72.171,61.754
71.947,60.820
71.693,59.879
71.410,58.931
71.098,57.978
70.759,57.021
70.393,56.062
70.001,55.102
69.584,54.142
69.142,53.184
68.676,52.229
68.188,51.279
67.677,50.334
67.145,49.397
66.592,48.469
66.020,47.550
65.428,46.644
64.818,45.750
64.190,44.870
63.545,44.006
62.885,43.159
62.209,42.330
61.518,41.521
60.814,40.734
60.097,39.969
59.368,39.227
58.627,38.512
57.876,37.823
57.114,37.162
56.344,36.530
55.565,35.930
54.779,35.362
53.986,34.827
53.187,34.327
52.904,33.760
53.765,34.270
54.621,34.807
55.470,35.369
56.313,35.955
57.149,36.565
57.977,37.198
58.797,37.853
59.607,38.529
60.407,39.225
61.196,39.940
61.975,40.674
62.741,41.425
63.495,42.192
64.235,42.976
64.961,43.774
65.673,44.586
66.370,45.411
67.050,46.248
67.714,47.096
68.361,47.955
68.989,48.824
69.599,49.701
70.190,50.586
70.761,51.477
71.311,52.375
71.840,53.278
72.346,54.185
72.830,55.095
73.291,56.008
73.728,56.922
74.140,57.837
74.526,58.752
74.887,59.666
75.221,60.577
75.528,61.486
75.806,62.391
76.056,63.292
76.277,64.187
76.467,65.076
76.627,65.957
76.756,66.831
76.852,67.695
76.916,68.549
76.946,69.393
76.942,70.225
76.904,71.044
76.801,72.091
76.637,73.108
76.414,74.077
76.136,74.998
75.803,75.871
75.418,76.695
74.981,77.470
74.496,78.196
73.963,78.873
73.384,79.501
72.762,80.080
72.097,80.609
71.392,81.088
70.649,81.518
69.868,81.897
69.053,82.226
68.204,82.505
67.324,82.734
66.414,82.911
65.476,83.038
64.512,83.114
63.523,83.139
62.512,83.112
61.479,83.034
60.428,82.905
59.359,82.723
58.274,82.490
57.175,82.204
56.064,81.867
54.943,81.476
53.814,81.033
52.677,80.538
51.535,79.989
50.390,79.388
49.735,78.602
49.822,77.601
49.800,76.700
83.500,15.300
84.503,15.300
85.506,15.300
86.509,15.300
87.511,15.300
88.514,15.300
89.517,15.300
90.520,15.300
91.523,15.300
92.526,15.300
93.060,15.908
93.316,16.878
93.572,17.847
93.828,18.817
94.084,19.787
94.340,20.756
94.596,21.726
94.852,22.696
95.108,23.665
95.363,24.635
95.619,25.605
95.875,26.574
96.131,27.544
96.387,28.514
96.643,29.483
96.928,30.542
97.171,31.437
97.389,32.316
97.611,33.338
97.806,34.156
98.066,35.331
98.332,36.532
98.549,37.428
98.886,37.109
99.069,36.113
99.255,35.160
99.446,34.230
99.645,33.303
99.853,32.362
100.073,31.385
100.307,30.354
100.556,29.288
100.814,28.318
101.072,27.349
101.329,26.380
101.587,25.411
101.844,24.441
102.102,23.472
102.359,22.503
102.617,21.534
102.874,20.564
103.132,19.595
103.390,18.626
103.647,17.657
103.905,16.688
104.162,15.718
104.767,15.200
105.769,15.200
106.772,15.200
107.775,15.200
108.778,15.200
109.781,15.200
110.784,15.200
111.787,15.200
112.790,15.200
113.792,15.200
113.800,16.195
113.800,17.198
113.800,18.201
113.800,19.204
113.800,20.207
113.800,21.210
113.800,22.213
113.800,23.215
113.800,24.218
113.800,25.221
113.800,26.224
113.800,27.227
113.800,28.230
113.800,29.233
113.800,30.235
113.800,31.238
113.800,32.241
113.800,33.244
113.800,34.247
113.800,35.250
113.800,36.253
113.800,37.256
113.800,38.258
113.800,39.261
113.800,40.264
113.800,41.267
113.800,42.270
113.800,43.273
113.800,44.276
113.800,45.279
113.800,46.281
113.800,47.284
113.800,48.287
113.800,49.290
113.207,49.700
112.204,49.700
111.201,49.700
110.199,49.700
109.196,49.700
108.193,49.700
107.700,49.190
107.700,48.187
107.700,47.184
107.700,46.181
107.700,45.178
107.700,44.176
107.700,43.173
107.700,42.170
107.700,41.167
107.700,40.164
107.700,39.161
107.700,38.158
107.700,37.155
107.700,36.153
107.700,35.150
107.700,34.147
107.700,33.144
107.700,32.141
107.700,31.138
107.706,30.321
107.722,29.432
107.747,28.476
107.779,27.468
